lat,lon,altitude,geometry,OBJECTID,STORE_TYPE,STORE_NAME,ADDRESS_ID,ADDRESS_LI,ADDRESS__1,CITY,STATE,ZIP,PHONE,HOURS,SNAP,SIC,NAICS_EXT,SALES_VOL,HDBRCH,NUMBER_EMP,EMPSIZ,FRNCOD,SQFT,SOURCE,POINT_X,POINT_Y,HCSI,NBHD_NAME,COUNCIL_DI
39.779655,-104.9549,,Point,66,Superette,Panaderia Y Restaurante Sanchez,0,2630 E 46TH AVE,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.9549,39.779655,,Elyria Swansea,Council District 9
39.740559,-104.945042,,Point,72,Small Grocery Store,Sprouts Farmers Market,0,3625 E Colfax Ave,,Denver,CO,80206,(720) 347-4205,,,541105,445110,774000,,3,1 to 4,,"0 - 2,499",InfoGroup2014,-104.945042,39.740559,,City Park,Council District 9
39.771949,-104.943475,,Point,78,Small Grocery Store,A Mart Store,0,3770 E 40TH AVE,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.943475,39.771949,,Clayton,Council District 9
39.757102,-104.946272,,Point,80,Small Grocery Store,Frank's Food Mart,0,2800 Madison St,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2015,-104.946272,39.757102,Healthy Corner Store Initiative,Skyland,Council District 9
39.764661,-104.968654,,Point,87,Small Grocery Store,Abarrotes Le Herradura,0,3401 N FRANKLIN ST,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.968654,39.764661,,Cole,Council District 9
39.764063,-104.973289,,Point,88,Small Grocery Store,Downing Supermarket,0,3340 Downing St,,Denver,CO,80205,(303) 294-0319,,,541105,445110,6450000,,25,20 to 49,,"2,500 - 9,999",InfoGroup2014,-104.973289,39.764063,,Cole,Council District 9
39.763508,-104.972956,,Point,89,Superette,Carniceria Jalisco,0,3300 Downing St,,Denver,CO,80205,(303) 296-0168,,,542107,445210,1051000,,5,5 to 9,,"0 - 2,499",InfoGroup2014,-104.972956,39.763508,,Cole,Council District 9
39.730089,-105.024107,,Point,111,Specialty Food Store,Pasteles Espinosa,0,2970 W. Barberry Pl.,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.024107,39.730089,,Sun Valley,Council District 3
39.744014,-104.989781,,Point,116,Small Grocery Store,Cook's Fresh Market,0,1600 GLENARM PL STE 120,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.989781,39.744014,,CBD,Council District 9
39.746037,-104.993056,,Point,117,Small Grocery Store,Walgreen,0,801 16TH ST,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.993056,39.746037,,CBD,Council District 9
39.757235,-104.998956,,Point,123,Supermarket,King Soopers,0,1950 Chestnut St,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2015,-104.998956,39.757235,,Union Station,Council District 9
39.748768,-104.999479,,Point,124,Specialty Food Store,Evoo Marketplace,0,1338 15th St,,Denver,CO,80202,(303) 974-5784,,,543102,445230,404000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-104.999479,39.748768,,Union Station,Council District 9
39.749801,-105.001562,,Point,125,Specialty Food Store,Smith & Truslow,0,1444 Wazee St,,Denver,CO,80202,(303) 339-6967,,,549913,445299,343000,,3,1 to 4,,"2,500 - 9,999",InfoGroup2014,-105.001562,39.749801,,Union Station,Council District 9
39.76874,-104.979796,,Point,133,Small Grocery Store,Mondo Market,0,3350 Brighton Blvd,,Denver,CO,80216,(720) 379-7699,,,541101,445110,516000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-104.979796,39.76874,,Five Points,Council District 9
39.748966,-104.977536,,Point,134,Supermarket,Safeway,0,757 E 20th Ave,,Denver,CO,80205,(303) 861-8169,,,541105,445110,14191000,,55,50 to 99,,"2,500 - 9,999",InfoGroup2014,-104.977536,39.748966,,Five Points,Council District 9
39.757512,-104.987022,,Point,135,Specialty Food Store,Amerigo Delicatus,0,2449 LARIMER ST,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.987022,39.757512,,Five Points,Council District 9
39.753889,-104.991637,,Point,136,Specialty Food Store,Larimer St Market,0,2063 Larimer St,,Denver,CO,80205,(303) 295-0442,,,541101,445110,516000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-104.991637,39.753889,,Five Points,Council District 9
39.76874,-104.979796,,Point,137,Specialty Food Store,Meathead,0,3350 N BRIGHTON BLVD,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.979796,39.76874,,Five Points,Council District 9
39.761875,-104.989948,,Point,138,Specialty Food Store,Tres Rios Agricultural Co-Op,0,214 Denargo Market,,Denver,CO,80216,(303) 293-1990,,,,,0,,0,,,,InfoGroup2014,-104.989948,39.761875,,Five Points,Council District 9
39.770788,-104.927164,,Point,143,Small Grocery Store,Mountain Fresh Market,0,3885 Forest St,,Denver,CO,80207,(720)639-1655,,,,,0,,0,,,,DEH2015,-104.927164,39.770788,,Northeast Park Hill,Council District 8
39.751181,-104.933304,,Point,146,Small Grocery Store,Spinelli,0,4621 E 23RD AVE,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.933304,39.751181,,North Park Hill,Council District 8
39.7406,-104.91736,,Point,153,Specialty Food Store,Ethiopian Culture Mesob Market,0,1510 KEARNEY ST,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.91736,39.7406,,South Park Hill,Council District 8
39.78544,-104.894589,,Point,162,Supercenter,Target,0,7930 Northfield Blvd,,Denver,CO,80238,(303) 209-8720,,,531102,452111,33025000,,150,100 to 249,,"40,000+",InfoGroup2014,-104.894589,39.78544,,Stapleton,Council District 8
39.7566,-104.901847,,Point,163,Supermarket,King Soopers,0,2810 Quebec St,,Denver,CO,80207,(303) 333-3223,,,541105,445110,25802000,,100,100 to 249,,"40,000+",InfoGroup2014,-104.901847,39.7566,,Stapleton,Council District 8
39.779735,-104.892648,,Point,164,Specialty Food Store,Euro Cafe and Market,0,8270 E NORTHFIELD BLVD,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.892648,39.779735,,Stapleton,Council District 8
39.76627,-104.898098,,Point,165,Warehouse Club Store,Sams Club,0,7805 E 35th Ave,,Denver,CO,80238,(720) 941-6180,,,531110,452910,39630000,,180,100 to 249,,"40,000+",InfoGroup2014,-104.898098,39.76627,,Stapleton,Council District 8
39.78104095,-104.8465937,,Point,172,Superette,Chihuahua Carniceria,0,4660 Peoria St,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2016,-104.846594,39.781041,,Montbello,Council District 8
39.784882,-104.770029,,Point,178,Supermarket,King Soopers,0,18605 Green Valley Ranch,,Denver,CO,80249,(303) 371-8985,,,541105,445110,25802000,,100,100 to 249,,"40,000+",InfoGroup2014,-104.770029,39.784882,,Gateway - Green Valley Ranch,Council District 11
39.690768,-105.026008,,Point,191,Small Grocery Store,Ana's Meat Market,0,1411 S Federal Blvd,,Denver,CO,80219,(303) 922-6455,,,542107,445210,630000,,3,1 to 4,,"0 - 2,499",InfoGroup2014,-105.026008,39.690768,,Mar Lee,Council District 3
39.690414,-105.042829,,Point,192,Small Grocery Store,Leever's / Save A Lot,0,4255 W Florida Ave,,Denver,CO,80219,(303) 935-0880,,,541105,445110,7740000,,30,20 to 49,,"2,500 - 9,999",InfoGroup2014,-105.042829,39.690414,,Mar Lee,Council District 3
39.690469,-105.051947,,Point,193,Supermarket,King Soopers,0,5125 W Florida Ave,,Denver,CO,80219,(303) 934-3147,,,541105,445110,36897000,,143,100 to 249,,"40,000+",InfoGroup2014,-105.051947,39.690469,,Mar Lee,Council District 3
39.691935,-105.052872,,Point,194,Specialty Food Store,Anastasia's Desserts,0,1350 S SHERIDAN BLVD,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.052872,39.691935,,Mar Lee,Council District 3
39.694452,-105.025364,,Point,195,Specialty Food Store,Indus Imports,0,1225 S Federal Blvd,,Denver,CO,80219,(303) 742-4443,,,541105,445110,258000,,1,1 to 4,,"0 - 2,499",InfoGroup2014,-105.025364,39.694452,,Mar Lee,Council District 3
39.690662,-105.043893,,Point,196,Specialty Food Store,Tortilleria Victoria,0,4365 W Florida Ave,,Denver,CO,80219,(303) 975-0006,,,541105,445110,1290000,,5,5 to 9,,"0 - 2,499",InfoGroup2014,-105.043893,39.690662,,Mar Lee,Council District 3
39.70697,-105.038331,,Point,204,Small Grocery Store,Abarrote Angelito Quetzal,0,3892 Morrison Rd,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.038331,39.70697,,Westwood,Council District 3
39.696946,-105.025419,,Point,205,Small Grocery Store,Hau Giang Market,0,1095 S Federal Blvd,,Denver,CO,80219,(303) 936-7537,,,541105,445110,1032000,,4,1 to 4,,"0 - 2,499",InfoGroup2014,-105.025419,39.696946,,Westwood,Council District 3
39.698428,-105.025326,,Point,206,Small Grocery Store,Hong Phat Market Inc,0,1001 S Federal Blvd,,Denver,CO,80219,(303) 934-1664,,,541105,445110,2322000,,9,5 to 9,,"2,500 - 9,999",InfoGroup2014,-105.025326,39.698428,,Westwood,Council District 3
39.697422,-105.025418,,Point,207,Small Grocery Store,L & P Seafood,0,1055 S FEDERAL BLVD,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.025418,39.697422,,Westwood,Council District 3
39.709539,-105.034675,,Point,208,Small Grocery Store,Panaderia Contreras,0,3570 MORRISON RD,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.034675,39.709539,Healthy Corner Store Initiative,Westwood,Council District 3
39.710898,-105.031631,,Point,209,Small Grocery Store,Store Perez,0,3420 W Alameda Ave,,Denver,CO,80219,(720) 855-7671,,,539901,452990,496000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-105.031631,39.710898,,Westwood,Council District 3
39.710908,-105.02772,,Point,212,Specialty Food Store,Carniceria La Sierra,0,3154 W Alameda Ave,,Denver,CO,80219,(303) 935-6293,,,542107,445210,630000,,3,1 to 4,,"0 - 2,499",InfoGroup2014,-105.02772,39.710908,,Westwood,Council District 3
39.697586,-105.025428,,Point,213,Specialty Food Store,Indochina Ginseng Co,0,1045 S Federal Blvd,,Denver,CO,80219,(303) 935-0400,,,541105,445110,1032000,,4,1 to 4,,"0 - 2,499",InfoGroup2014,-105.025428,39.697586,,Westwood,Council District 3
39.710081,-105.025773,,Point,214,Specialty Food Store,Vinh Xuong Bakery,0,375 S FEDERAL BLVD,,Denver,CO,80219,n/a,,,,,0,,0,,,,DEH2014,-105.025773,39.710081,,Westwood,Council District 3
39.718741,-105.032838,,Point,218,Small Grocery Store,Mi Pueblo Market,0,125 Knox Ct,,Denver,CO,80219,(303) 253-7640,,,541105,445110,9030000,,35,20 to 49,,"2,500 - 9,999",InfoGroup2014,-105.032838,39.718741,,Barnum,Council District 3
39.638644,-105.083055,,Point,227,Supercenter,Walmart,0,7700 W Quincy Ave,,Littleton,CO,80123,(303) 971-0321,,,531102,452111,48436000,,220,100 to 249,,"40,000+",InfoGroup2014,-105.083055,39.638644,,Marston,Council District 2
39.615828,-105.094357,,Point,228,Small Grocery Store,Sprouts Farmers Market,0,8601 W Cross Dr # P4,,Littleton,CO,80123,(720) 214-0410,,,541105,445110,774000,,3,1 to 4,,"0 - 2,499",InfoGroup2014,-105.094357,39.615828,,Marston,Council District 2
39.629528,-105.08818,,Point,229,Warehouse Club Store,Sams Club,0,4827 S WADSWORTH WAY,,,,,(303) 971-0136,,,,,0,,0,,,,DEH2014,-105.08818,39.629528,,Marston,Council District 2
39.718659,-105.024572,,Point,235,Specialty Food Store,Tortillas Caseras,0,110 N. Federal Blvd.,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.024572,39.718659,,Valverde,Council District 7
39.697067,-105.008982,,Point,241,Small Grocery Store,Athmar Market,0,1789 W Mississippi Ave,,Denver,CO,80223,(303) 936-0204,,,541101,445110,516000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-105.008982,39.697067,,Athmar Park,Council District 7
39.697494,-105.024726,,Point,242,Small Grocery Store,New Saigon Market,0,1076 S Federal Blvd,,Denver,CO,80219,(303) 937-7271,,,541105,445110,516000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-105.024726,39.697494,,Athmar Park,Council District 7
39.710074,-105.01385,,Point,243,Supermarket,Pacific Ocean Intl Supermarket,0,2200 W Alameda Ave # 2b,,Denver,CO,80223,(303) 936-4845,,,541105,445110,774000,,3,1 to 4,,"0 - 2,499",InfoGroup2014,-105.01385,39.710074,,Athmar Park,Council District 7
39.708189,-105.003363,,Point,244,Specialty Food Store,Alpine Sausage Co.,0,1272 W. Alaska Pl.,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.003363,39.708189,,Athmar Park,Council District 7
39.706649,-105.024689,,Point,245,Specialty Food Store,Baker's Palace,0,550 S. Federal Blvd.,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.024689,39.706649,,Athmar Park,Council District 7
39.697414,-105.01173,,Point,246,Specialty Food Store,La Noria Carniceria Taqueria,0,1931 W Mississippi Ave,,Denver,CO,80223,(303) 922-3388,,,542107,445210,1051000,,5,5 to 9,,"0 - 2,499",InfoGroup2014,-105.01173,39.697414,,Athmar Park,Council District 7
39.704777,-105.024691,,Point,247,Specialty Food Store,New Saigon Bakery & Deli,0,640 S. Federal Blvd.,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.024691,39.704777,,Athmar Park,Council District 7
39.697336,-105.01163,,Point,248,Specialty Food Store,Panaderia Castaneda,0,1925 W. Mississippi Ave.,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.01163,39.697336,,Athmar Park,Council District 7
39.710956,-105.015316,,Point,249,Specialty Food Store,Vinh Xyong Bakery,0,2370 W. Alameda Ave.,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.015316,39.710956,,Athmar Park,Council District 7
39.707717,-105.024692,,Point,250,Superette,Store Perez  1 Carcineria,0,490 S Federal Blvd,,Denver,CO,80219,(303) 936-3264,,,541105,445110,774000,,3,1 to 4,,"0 - 2,499",InfoGroup2014,-105.024692,39.707717,,Athmar Park,Council District 7
39.682478,-104.987197,,Point,253,Specialty Food Store,Azucar Sweet Shop & Bakery,0,1886 S Broadway,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.987197,39.682478,,Platt Park,Council District 7
39.678958,-105.01233,,Point,263,Small Grocery Store,Campos Market,0,2135 W EVANS AVE,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.01233,39.678958,,College View - South Platte,Council District 7
39.665889,-105.024497,,Point,264,Small Grocery Store,Super Carniceria Compare,0,2796 S Federal Blvd,,Denver,CO,80236,(303) 761-4430,,,531104,452112,1761000,,8,5 to 9,,"40,000+",InfoGroup2014,-105.024497,39.665889,,College View - South Platte,Council District 7
39.677453,-105.024578,,Point,265,Specialty Food Store,Las 3 Americas Tortilleria,0,2170 S FEDERAL BLVD,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.024578,39.677453,,College View - South Platte,Council District 7
39.69646,-105.008432,,Point,274,Small Grocery Store,Store Perez,0,1798 W Mississippi Ave,,Denver,CO,80223,(303) 936-5946,,,541105,445110,1032000,,4,1 to 4,,"0 - 2,499",InfoGroup2014,-105.008432,39.69646,,Ruby Hill,Council District 7
39.692228,-105.024279,,Point,275,Small Grocery Store,Lowes Mercado,0,1320 S Federal Blvd,,Denver,CO,80219,(303) 922-7412,,,541105,445110,21932000,,85,50 to 99,,"2,500 - 9,999",InfoGroup2014,-105.024279,39.692228,,Ruby Hill,Council District 7
39.696508,-105.013339,,Point,276,Specialty Food Store,Tortilleria Colorado,0,2050 W. Mississippi Ave.,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.013339,39.696508,,Ruby Hill,Council District 7
39.710492,-104.987652,,Point,285,Supermarket,Albertsons,0,323 S Broadway,,Denver,CO,80209,(303) 744-8660,,,541105,445110,28382000,,110,100 to 249,,"40,000+",InfoGroup2014,-104.987652,39.710492,,Baker,Council District 7
39.716841,-104.999843,,Point,286,Specialty Food Store,Colorado Nut Company,0,2 N. Kalamath St.,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.999843,39.716841,,Baker,Council District 7
39.719566,-104.99827,,Point,287,Specialty Food Store,Denver Urban Homesteading,0,200 N SANTA FE DR,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.99827,39.719566,,Baker,Council District 7
39.725465,-104.99955,,Point,288,Specialty Food Store,Lamar's Donuts,0,990 W. 6th Ave.,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.99955,39.725465,,Baker,Council District 7
39.707349,-104.98769,,Point,289,Warehouse Club Store,Sams Club,0,505 S Broadway,,Denver,CO,80209,(303) 722-2152,,,531110,452910,33025000,,150,100 to 249,,"40,000+",InfoGroup2014,-104.98769,39.707349,,Baker,Council District 7
39.696866,-104.985286,,Point,290,Small Grocery Store,Sprouts Farmers Market,0,197 E Mississippi Ave,,Denver,CO,80209,(720) 458-2873,,,,,0,,0,,,,DEH2015,-104.985286,39.696866,,Washington Park West,Council District 7
39.695707,-104.979828,,Point,291,Supermarket,Whole Foods,0,1111 S Washington St,,Denver,CO,80210,(303) 733-6201,,,541105,445110,11611000,,45,20 to 49,,"2,500 - 9,999",InfoGroup2014,-104.979828,39.695707,,Washington Park West,Council District 7
39.718394,-105.035754,,Point,293,Specialty Food Store,Panaderia Mexico,0,3637 W 1ST AVE,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.035754,39.718394,,Barnum,Council District 3
39.717874,-105.032103,,Point,294,Superette,Carniceria Zacatecas,0,70 Knox Ct,,Denver,CO,80219,(303) 934-0681,,,542107,445210,420000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-105.032103,39.717874,,Barnum,Council District 3
39.718594,-105.052728,,Point,296,Small Grocery Store,Carniceria Guadalajara,0,5185 W 1st Ave,,Denver,CO,80219,(303) 937-7132,,,541105,445110,1548000,,6,5 to 9,,"0 - 2,499",InfoGroup2014,-105.052728,39.718594,,Barnum West,Council District 3
39.728345,-105.052572,,Point,300,Small Grocery Store,Fruteria LA Mexicana,0,706 Sheridan Blvd,,Denver,CO,80214,(303) 825-3370,,,542107,445210,1051000,,5,5 to 9,,"0 - 2,499",InfoGroup2014,-105.052572,39.728345,,Villa Park,Council District 3
39.725867,-105.03902,,Point,301,Small Grocery Store,Perry Market,0,3925 W 6TH AVE,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.03902,39.725867,,Villa Park,Council District 3
39.737656,-104.997834,,Point,315,Supermarket,King Soopers,0,1331 Speer Blvd,,Denver,CO,80204,(303) 571-1943,,,541105,445110,25802000,,100,100 to 249,,"40,000+",InfoGroup2014,-104.997834,39.737656,,Lincoln Park,Council District 3
39.655333,-105.054417,,Point,320,Supermarket,Walmart,0,3125 S Sheridan Blvd,,Denver,CO,80227,(303) 985-0217,,,531102,452111,50638000,,230,100 to 249,,"40,000+",InfoGroup2014,-105.054417,39.655333,,Bear Valley,Council District 2
39.655654,-105.048303,,Point,323,Supermarket,King Soopers,0,3100 S Sheridan Blvd # 200,,Denver,CO,80227,(303) 937-4400,,,541105,445110,61925000,,240,100 to 249,,"40,000+",InfoGroup2014,-105.048303,39.655654,,Harvey Park South,Council District 2
39.680444,-105.026088,,Point,328,Small Grocery Store,Leever's / Save A Lot,0,1951 S Federal Blvd,,Denver,CO,80219,(303) 407-0430,,,541105,445110,4386000,,17,10 to 19,,"2,500 - 9,999",InfoGroup2014,-105.026088,39.680444,,Harvey Park,Council District 2
39.680382,-105.026128,,Point,330,Specialty Food Store,Encanto Botanica,0,2039 S Federal Blvd,,Denver,CO,80219,(303) 935-2470,,,541105,445110,774000,,3,1 to 4,,"0 - 2,499",InfoGroup2014,-105.026128,39.680382,,Harvey Park,Council District 2
39.680382,-105.026128,,Point,331,Specialty Food Store,San Antonia Fresh Mexican Bakery & Juice Bar,0,2007 S FEDERAL BLVD,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.026128,39.680382,,Harvey Park,Council District 2
39.716467,-104.987035,,Point,332,Specialty Food Store,Nooch Vegan Market,0,10 E Ellsworth Ave,,Denver,CO,80209,(720) 328-5324,,,541101,445110,516000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-104.987035,39.716467,,Speer,Council District 7
39.724981,-104.973509,,Point,339,Supermarket,Safeway,0,560 Corona St,,Denver,CO,80218,(303) 777-1231,,,541105,445110,18061000,,70,50 to 99,,"2,500 - 9,999",InfoGroup2014,-104.973509,39.724981,,Speer,Council District 10
39.726632,-104.982416,,Point,340,Supermarket,Trader Joe's,0,661 Logan Street,,Denver,CO,80203,(303) 318-7112,,,,,0,,0,,,,OED,-104.982416,39.726632,,Speer,Council District 10
39.720399,-104.949465,,Point,343,Small Grocery Store,Continental's Deli,0,250 N STEELE ST,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.949465,39.720399,,Cherry Creek,Council District 10
39.718799,-104.956783,,Point,344,Supermarket,Whole Foods,0,2375 E 1st Ave # West,,Denver,CO,80206,(720) 941-4100,,,541105,445110,77407000,,300,250 to 499,,"40,000+",InfoGroup2014,-104.956783,39.718799,,Cherry Creek,Council District 10
39.719513,-104.954959,,Point,345,Specialty Food Store,Duke's Corner Store,0,2727 E 2nd Ave,,Denver,CO,80206,(303) 955-7663,,,539901,452990,496000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-104.954959,39.719513,,Cherry Creek,Council District 10
39.719793,-104.953099,,Point,346,Specialty Food Store,Penzeys Spices,0,200 Fillmore St,,Denver,CO,80206,(303) 329-0570,,,549902,445299,229000,,2,1 to 4,,"2,500 - 9,999",InfoGroup2014,-104.953099,39.719793,,Cherry Creek,Council District 10
39.725492,-104.953133,,Point,347,Specialty Food Store,Truffle,0,2906 E 6th Ave,,Denver,CO,80206,(303) 322-7363,,,545103,445299,318000,,4,1 to 4,,"0 - 2,499",InfoGroup2014,-104.953133,39.725492,,Cherry Creek,Council District 10
39.725452,-104.966604,,Point,348,Specialty Food Store,Oliver's Meat Market,0,1718 E 6th Ave,,Denver,CO,80218,(303) 733-4629,,,542107,445210,840000,,4,1 to 4,,"0 - 2,499",InfoGroup2014,-104.966604,39.725452,,Country Club,Council District 10
